grafo_100,grafo_500,grafo_1000,grafo_5000,grafo_10000,grafo_50000
"[56, 51, 29, 48, 58]","[349, 386, 339, 273, 26]","[878, 60, 143, 625, 127]","[4176, 2986, 4484, 1669, 3902]","[5009, 6187, 4573, 7142, 1935]","[23109, 6868, 69, 47159, 376]"
"[53, 30, 81, 51, 29]","[34, 322, 161, 286, 262]","[887, 145, 289, 946, 206]","[2365, 719, 4768, 4115, 4220]","[667, 4657, 7678, 5497, 5805]","[44718, 32314, 48329, 9725, 19972]"
"[41, 53, 9, 72, 51]","[264, 320, 451, 27, 175]","[478, 446, 600, 897, 449]","[837, 4730, 2944, 4362, 4496]","[7577, 8222, 3970, 6507, 8002]","[41856, 20830, 1488, 28017, 21949]"
"[29, 53, 30, 51, 58]","[440, 113, 161, 193, 31]","[646, 930, 403, 25, 279]","[302, 1038, 2300, 631, 810]","[2275, 1427, 1133, 7866, 1966]","[12305, 21221, 6401, 48819, 1221]"
"[75, 48, 81, 30, 34]","[416, 482, 397, 193, 239]","[510, 477, 307, 881, 660]","[4204, 516, 4421, 575, 4869]","[1336, 623, 1117, 2090, 3233]","[9999, 9007, 31330, 4161, 46770]"
"[30, 53, 51, 34, 48]","[168, 386, 54, 491, 408]","[368, 448, 965, 290, 875]","[3371, 2821, 1721, 1771, 2626]","[645, 8109, 2422, 573, 3890]","[36293, 43613, 26252, 30651, 24296]"
"[75, 34, 51, 48, 53]","[280, 437, 345, 435, 163]","[871, 901, 628, 345, 834]","[4820, 4950, 1316, 4138, 515]","[331, 6985, 6225, 4151, 1349]","[31278, 29257, 9977, 22614, 13024]"
"[56, 58, 75, 41, 81]","[442, 457, 167, 218, 407]","[204, 38, 105, 823, 625]","[1315, 2232, 3335, 2117, 2331]","[485, 149, 833, 2191, 5355]","[47661, 31461, 4827, 23296, 37085]"
"[29, 72, 53, 58, 41]","[425, 193, 90, 76, 271]","[817, 407, 934, 483, 702]","[4030, 4479, 135, 2733, 4773]","[13, 9976, 2134, 1352, 3513]","[31860, 15893, 41769, 43772, 20869]"
"[30, 56, 72, 75, 81]","[487, 445, 90, 345, 444]","[491, 977, 919, 663, 498]","[2977, 3046, 3074, 1964, 4927]","[9379, 7568, 9604, 4095, 8821]","[32581, 29258, 16831, 24565, 31539]"
"[56, 41, 81, 30, 51]","[166, 236, 273, 309, 178]","[65, 609, 662, 273, 97]","[4906, 1824, 2149, 633, 4365]","[6179, 8717, 360, 654, 3330]","[10429, 3623, 42760, 32541, 26328]"
"[9, 75, 29, 30, 51]","[71, 320, 171, 195, 236]","[274, 10, 856, 868, 826]","[3445, 151, 1312, 2778, 421]","[8721, 6264, 5847, 9932, 5714]","[25331, 34888, 30060, 22001, 6872]"
"[53, 72, 86, 41, 58]","[442, 19, 422, 207, 12]","[895, 984, 473, 736, 603]","[2022, 1985, 3549, 2360, 1510]","[5947, 3867, 7287, 1647, 5230]","[44118, 48772, 48687, 22747, 47988]"
"[86, 58, 29, 41, 81]","[343, 476, 370, 73, 376]","[173, 333, 46, 543, 12]","[1025, 1783, 2516, 1875, 3142]","[1853, 6085, 6552, 2699, 9099]","[68, 13323, 6771, 31995, 47396]"
"[58, 41, 72, 86, 51]","[140, 422, 429, 351, 18]","[150, 888, 497, 565, 346]","[882, 438, 1960, 4095, 390]","[6880, 6406, 8301, 7415, 6024]","[18657, 43500, 49370, 16258, 45424]"
